time,longitude,latitude,count
2016081719,118.740776,31.891394,130
2016081720,118.751491,31.887673,121
2016081721,118.762056,31.921985,141
2016081722,118.740359,31.891716,179
2016081723,118.73632,31.903766,84
2016081700,118.763601,31.90903,125
2016081701,118.740779,31.897937,43
2016081702,118.743239,31.919427,196
2016081703,118.753724,31.910728,48
2016081704,118.744647,31.905152,141
2016081705,118.754861,31.897652,100
2016081706,118.748154,31.913409,68
2016081707,118.744666,31.912255,18
2016081708,118.74166,31.901485,38
2016081709,118.761124,31.900342,166
2016081710,118.750156,31.894201,141
2016081711,118.744396,31.895399,33
2016081712,118.747427,31.885767,78
2016081713,118.754257,31.912617,19
2016081714,118.759703,31.901205,135
2016081715,118.754123,31.890656,174
2016081716,118.759216,31.915778,53
2016081717,118.764569,31.888675,32
2016081718,118.756691,31.921743,14
2016081719,118.760818,31.888878,174
2016081720,118.748277,31.891756,10
2016081721,118.747454,31.913683,166
2016081722,118.749706,31.886459,84
2016081723,118.747381,31.908819,66
2016081700,118.752382,31.889554,31
2016081701,118.766401,31.886117,64
2016081702,118.736987,31.893421,69
2016081703,118.748367,31.921166,137
2016081704,118.761319,31.900611,48
2016081705,118.755392,31.911445,29
2016081706,118.757266,31.911166,70
2016081707,118.744565,31.910102,146
2016081708,118.744926,31.899435,74
2016081709,118.750531,31.905502,172
2016081710,118.749179,31.91582,76
2016081711,118.76754,31.897765,188
2016081712,118.748158,31.910617,53
2016081713,118.748692,31.898298,10
2016081714,118.74671,31.911343,42
2016081715,118.748265,31.896348,156
2016081716,118.764538,31.920057,127
2016081717,118.768759,31.907771,68
2016081718,118.738543,31.886289,191
2016081719,118.755877,31.887958,74
2016081720,118.753596,31.918674,61
2016081721,118.76618,31.904182,14
2016081722,118.738787,31.888065,63
2016081723,118.755416,31.917353,133
2016081700,118.754943,31.913666,71
2016081701,118.742113,31.919443,119
2016081702,118.759071,31.921191,118
2016081703,118.743128,31.91922,134
2016081704,118.765778,31.896012,190
2016081705,118.764535,31.898289,119
2016081706,118.765531,31.899243,109
2016081707,118.760177,31.893607,189
2016081708,118.762108,31.899469,167
2016081709,118.757767,31.906011,140
2016081710,118.740072,31.903681,48
2016081711,118.761514,31.906795,60
2016081712,118.736933,31.92051,92
2016081713,118.761547,31.921589,182
2016081714,118.749796,31.909849,88
2016081715,118.736568,31.904705,176
2016081716,118.744091,31.894009,63
2016081717,118.76743,31.912462,125
2016081718,118.741572,31.895877,183
2016081719,118.740389,31.895895,98
2016081720,118.747059,31.907136,69
2016081721,118.740568,31.907656,119
2016081722,118.755474,31.908115,132
2016081723,118.744709,31.896667,132
