longitude,latitude,homecount,workcount,rate
118.740077,31.997297,133,247,1.857142857
118.884849,32.057676,415,229,0.551807229
118.753167,32.018114,379,148,0.390501319
118.748664,32.073144,82,295,3.597560976
118.750213,32.060791,76,86,1.131578947
118.758153,32.041538,372,252,0.677419355
118.898033,32.11879,168,193,1.148809524
118.790168,32.10094,257,351,1.365758755
118.878463,32.132425,72,440,6.111111111
118.844941,32.018788,416,184,0.442307692
118.860744,32.065849,110,246,2.236363636
118.823,32.070413,479,260,0.542797495
118.818908,32.012948,230,370,1.608695652
118.89595,32.087227,85,138,1.623529412
118.815296,32.111768,462,352,0.761904762
118.777283,32.020327,488,308,0.631147541
118.828817,32.052544,140,414,2.957142857
118.897387,32.072359,221,465,2.104072398
118.889119,32.096763,356,231,0.648876404
118.828848,32.072681,106,265,2.5
118.868043,32.031848,161,365,2.267080745
118.859989,32.130911,288,264,0.916666667
118.740486,32.104007,180,229,1.272222222
118.738595,32.005419,410,96,0.234146341
118.829559,32.124123,238,428,1.798319328
118.767553,32.125437,340,294,0.864705882
118.807048,32.078235,304,56,0.184210526
118.748538,32.125361,325,263,0.809230769
118.873676,32.10349,438,235,0.53652968
118.747771,32.019232,347,468,1.34870317
118.868919,32.060429,107,322,3.009345794
118.796516,32.03942,154,94,0.61038961
118.816813,31.999747,103,252,2.446601942
118.816456,32.040485,393,303,0.770992366
118.893498,32.052408,165,219,1.327272727
118.901077,32.092822,142,232,1.633802817
118.830889,32.086975,471,59,0.125265393
118.863208,32.094289,204,196,0.960784314
118.869496,32.012568,343,398,1.160349854
118.889771,32.03677,205,486,2.370731707
118.902229,32.064753,325,381,1.172307692
118.742206,32.081527,370,490,1.324324324
118.837723,32.032721,370,325,0.878378378
118.774471,32.081419,314,433,1.378980892
118.801452,32.000175,413,438,1.060532688
118.86435,32.077741,323,175,0.541795666
118.859289,32.080723,375,103,0.274666667
118.767688,32.092196,106,249,2.349056604
118.758017,32.022848,475,169,0.355789474
118.815089,31.999449,200,320,1.6
118.872553,32.106278,473,369,0.78012685
118.901876,32.001667,142,364,2.563380282
118.858497,32.07119,244,372,1.524590164
118.797005,32.052969,256,393,1.53515625
118.778895,32.103759,263,364,1.384030418
118.805079,32.091026,406,63,0.155172414
118.803255,32.078762,240,196,0.816666667
118.765514,32.049064,171,256,1.497076023
118.822041,32.100988,413,431,1.043583535
118.778554,32.046054,83,172,2.072289157
118.854162,32.072551,156,241,1.544871795
118.842991,32.132094,275,272,0.989090909
118.753274,32.085004,272,163,0.599264706
118.863012,32.064064,393,326,0.829516539
118.785376,32.018077,420,256,0.60952381
118.746989,32.092378,310,197,0.635483871
118.859905,32.039639,351,251,0.715099715
118.894635,32.103989,394,471,1.195431472
118.888227,32.035697,282,363,1.287234043
118.772244,32.098548,248,122,0.491935484
118.761572,32.034127,262,243,0.927480916
118.87069,32.071322,461,292,0.63340564
118.805839,32.12914,57,263,4.614035088
118.777422,32.115408,137,421,3.072992701
118.900005,32.025818,458,353,0.770742358
118.790168,32.018178,275,343,1.247272727
118.862042,31.997023,239,393,1.644351464
118.839909,32.046942,255,350,1.37254902
118.800217,32.070716,444,446,1.004504505
118.852089,32.002141,435,286,0.657471264
118.881197,32.001322,145,79,0.544827586
118.804403,32.011456,362,350,0.966850829
118.750089,32.020226,327,104,0.318042813
118.882812,32.124802,68,300,4.411764706
118.823321,32.130997,130,142,1.092307692
118.785422,32.115267,408,92,0.225490196
118.866824,32.10797,466,301,0.645922747
118.882296,32.115837,272,346,1.272058824
118.878926,32.009043,259,77,0.297297297
118.890133,32.016805,96,285,2.96875
118.877263,32.02305,378,62,0.164021164
118.809506,32.008441,58,419,7.224137931
118.823816,31.995753,259,284,1.096525097
118.783593,32.104947,271,192,0.708487085
118.831128,32.019694,456,285,0.625
118.846112,32.090562,55,325,5.909090909
118.842321,32.019852,234,330,1.41025641
118.769124,32.095135,320,214,0.66875
118.784912,32.026176,84,482,5.738095238
118.736321,32.037555,491,500,1.018329939
118.883401,32.038913,384,322,0.838541667
118.742685,32.040806,414,274,0.661835749
118.88928,32.07217,159,306,1.924528302
118.835071,32.029656,174,467,2.683908046
118.754405,32.124662,217,478,2.202764977
118.747373,32.012989,398,464,1.165829146
118.904003,32.105559,397,432,1.088161209
118.882401,32.080253,189,114,0.603174603
118.836577,32.02521,225,388,1.724444444
118.890043,31.995519,308,391,1.269480519
118.88771,32.091789,388,96,0.24742268
118.887451,32.002736,298,126,0.422818792
118.760211,32.000213,334,167,0.5
118.789538,32.01531,283,289,1.021201413
118.828913,32.000514,62,398,6.419354839
118.772824,32.097565,427,271,0.634660422
118.805948,32.029978,353,265,0.750708215
118.792387,32.081764,402,94,0.233830846
118.887567,32.045417,445,298,0.669662921
118.883116,32.013576,211,222,1.052132701
118.766168,32.005245,272,485,1.783088235
118.895014,32.109487,369,338,0.91598916
118.858379,32.019614,236,353,1.495762712
118.83988,32.026714,150,280,1.866666667
118.741059,32.098651,106,364,3.433962264
118.801532,32.112615,424,470,1.108490566
118.86989,32.11656,110,60,0.545454545
118.806965,32.00848,117,457,3.905982906
118.750586,31.998972,471,150,0.318471338
118.763268,32.120216,479,143,0.298538622
118.86181,32.006695,235,164,0.69787234
118.762987,32.036773,91,354,3.89010989
118.865315,32.093386,288,147,0.510416667
118.797942,32.078471,440,259,0.588636364
118.867727,32.016346,174,439,2.522988506
118.787612,32.039414,398,159,0.399497487
118.778203,32.012539,246,53,0.215447154
118.773057,32.050499,463,489,1.056155508
118.826121,32.050569,100,344,3.44
118.846228,32.11755,136,72,0.529411765
118.825452,32.013858,386,61,0.158031088
118.851409,32.129546,352,410,1.164772727
118.759158,32.06572,324,280,0.864197531
118.746619,32.091503,317,358,1.129337539
118.807405,32.037818,286,135,0.472027972
118.846121,32.009467,256,491,1.91796875
118.85804,32.062109,303,86,0.283828383
118.831283,32.010685,94,125,1.329787234
118.858914,32.003401,106,295,2.783018868
118.898354,32.103785,420,271,0.645238095
118.790105,32.057038,267,396,1.483146067
118.850986,32.097218,161,461,2.863354037
118.765863,32.121522,143,113,0.79020979
118.853516,32.072294,499,246,0.492985972
118.783946,32.083476,491,58,0.118126273
118.821893,32.040897,135,346,2.562962963
118.774777,32.090627,79,336,4.253164557
118.74123,32.126584,80,134,1.675
118.833269,32.109012,94,299,3.180851064
118.812753,32.007371,486,136,0.279835391
118.835537,32.09337,276,404,1.463768116
118.798076,32.065149,470,247,0.525531915
118.844125,32.119829,474,70,0.147679325
118.757688,32.132359,266,146,0.54887218
118.830126,32.028355,464,405,0.872844828
118.803853,32.046712,276,270,0.97826087
118.848828,32.10287,170,446,2.623529412
118.79487,32.0217,56,222,3.964285714
118.867269,32.071241,371,310,0.835579515
118.893604,32.036083,95,287,3.021052632
118.804802,32.023507,52,310,5.961538462
118.813327,32.109526,224,336,1.5
118.856834,32.048732,262,436,1.664122137
118.757156,32.042578,483,347,0.718426501
118.746495,32.128071,279,457,1.637992832
118.895538,32.014216,451,320,0.709534368
118.823176,32.11416,410,213,0.519512195
118.817538,32.122601,106,293,2.764150943
118.807788,32.038702,207,489,2.362318841
118.872784,32.049773,193,174,0.901554404
118.757566,32.029326,400,466,1.165
118.737543,32.123107,271,347,1.280442804
118.801307,32.064097,60,299,4.983333333
118.797458,32.119877,238,470,1.974789916
118.759503,32.130961,443,76,0.171557562
118.878507,32.129922,493,430,0.872210953
118.801678,32.02804,245,329,1.342857143
118.783929,32.000506,454,319,0.702643172
118.886882,32.0937,155,421,2.716129032
118.761143,32.102404,459,388,0.845315904
118.85202,32.045145,335,91,0.271641791
118.883572,32.000093,69,376,5.449275362
118.887302,32.096614,124,110,0.887096774
118.858104,32.089007,478,396,0.828451883
118.826675,32.007548,71,101,1.422535211
118.85233,32.062898,389,218,0.560411311
118.747082,32.071211,484,241,0.497933884
118.738069,32.005531,75,369,4.92
118.877041,32.047969,344,98,0.284883721
118.864249,32.070091,414,229,0.553140097
118.763547,32.098116,139,311,2.237410072
118.890266,32.086561,432,265,0.613425926
118.840593,32.067632,199,193,0.969849246
118.829872,32.13215,372,67,0.180107527
118.821379,32.090643,245,166,0.67755102
118.886942,32.007158,271,255,0.94095941
118.805115,32.105005,148,246,1.662162162
118.869415,32.036594,205,292,1.424390244
118.743142,32.116236,464,462,0.995689655
118.871129,32.078863,68,119,1.75
118.807393,32.082929,210,269,1.280952381
118.865063,32.123835,337,425,1.261127596
118.815607,32.07839,178,50,0.280898876
118.818976,32.077674,319,121,0.379310345
118.85729,32.100127,54,205,3.796296296
118.8329,32.001378,298,144,0.483221477
118.895276,32.042919,492,230,0.467479675
118.837291,32.071784,141,382,2.709219858
118.902817,32.033396,246,480,1.951219512
118.746318,32.090526,485,131,0.270103093
118.839605,32.069443,380,259,0.681578947
118.760366,32.010363,183,190,1.038251366
118.882462,32.036955,370,296,0.8
118.829778,32.076239,108,67,0.62037037
118.795298,32.098148,233,209,0.896995708
118.843234,32.115782,371,297,0.800539084
118.846946,32.081343,214,488,2.280373832
118.822974,32.04805,265,356,1.343396226
118.900351,32.075322,148,363,2.452702703
118.891398,32.095352,472,448,0.949152542
118.898314,32.070539,386,52,0.134715026
118.845849,32.055065,150,463,3.086666667
118.827393,32.077742,253,249,0.984189723
118.784979,32.09459,257,414,1.610894942
118.739109,32.053793,432,476,1.101851852
118.893113,32.057347,395,272,0.688607595
118.794689,32.036792,61,351,5.754098361
118.809855,32.009689,391,170,0.434782609
118.745338,32.036428,458,226,0.493449782
118.803359,32.06725,417,397,0.952038369
118.89269,32.006114,346,422,1.219653179
118.810684,32.113129,118,401,3.398305085
118.90096,32.024671,101,485,4.801980198
118.7481,32.123321,238,257,1.079831933
118.78976,32.069588,463,456,0.98488121
118.820024,32.052528,128,304,2.375
118.8665,32.095615,218,332,1.52293578
118.755006,32.019454,422,99,0.234597156
118.830304,32.078361,438,475,1.084474886
118.768476,32.015288,316,359,1.136075949
118.739953,32.036961,350,287,0.82
118.813711,32.062384,108,367,3.398148148
118.825916,32.013593,487,125,0.256673511
118.902732,32.058534,476,427,0.897058824
118.809795,32.043886,313,451,1.440894569
118.820819,32.045554,402,452,1.124378109
118.893772,32.107244,303,60,0.198019802
118.777445,32.097242,245,58,0.236734694
118.874369,32.031376,312,126,0.403846154
118.890275,32.026993,263,424,1.6121673
118.758905,32.112222,457,406,0.888402626
118.756037,32.116509,373,308,0.825737265
118.810883,32.12266,142,200,1.408450704
118.753633,32.061295,297,362,1.218855219
118.820725,32.067848,178,271,1.52247191
118.841165,32.041847,292,252,0.863013699
118.750663,32.062974,431,305,0.707656613
118.742304,32.105339,205,232,1.131707317
118.848994,32.111253,431,265,0.614849188
118.783781,32.055289,407,55,0.135135135
118.884235,31.998747,275,445,1.618181818
118.849185,32.091208,94,268,2.85106383
118.822066,32.013132,279,229,0.82078853
118.853137,32.063374,137,207,1.510948905
118.866929,32.064854,322,74,0.229813665
118.799717,32.066776,247,451,1.825910931
118.752918,32.072585,474,362,0.76371308
118.888443,32.130559,491,414,0.843177189
118.768392,32.000072,456,373,0.817982456
118.741344,32.047534,78,190,2.435897436
118.78973,32.03089,164,287,1.75
118.758821,32.087462,413,131,0.317191283
118.841177,32.102473,384,220,0.572916667
118.769342,32.026755,492,491,0.99796748
118.785548,32.098992,78,196,2.512820513
118.762855,32.125211,417,267,0.64028777
118.746053,32.017264,413,233,0.564164649
118.773439,32.070427,363,259,0.713498623
118.893037,32.017622,279,198,0.709677419
118.855093,32.048093,290,236,0.813793103
118.78507,32.121562,122,420,3.442622951
118.829031,32.099914,406,190,0.467980296
118.900041,32.120133,398,264,0.663316583
118.883295,32.0139,360,186,0.516666667
118.872335,31.997428,147,318,2.163265306
118.851961,32.04273,165,234,1.418181818
118.864733,32.058397,217,353,1.626728111
118.828597,32.014346,339,267,0.787610619
118.862566,32.120521,228,166,0.728070175
118.882298,32.028576,183,210,1.147540984
118.816285,32.123464,283,345,1.219081272
118.81997,32.0708,154,270,1.753246753
118.879258,32.001711,175,340,1.942857143
118.74796,31.997872,103,402,3.902912621
118.782065,32.007781,488,162,0.331967213
118.81395,32.059425,392,429,1.094387755
118.797715,32.123176,416,426,1.024038462
118.856868,32.105957,142,243,1.711267606
118.824063,32.086095,217,141,0.649769585
118.807567,32.05345,277,222,0.801444043
118.762304,32.100452,150,419,2.793333333
118.841889,32.014754,185,378,2.043243243
118.823289,32.018763,448,494,1.102678571
118.835831,32.029682,154,485,3.149350649
118.771463,32.036615,101,398,3.940594059
118.860953,32.019491,351,287,0.817663818
118.901384,32.066573,306,186,0.607843137
118.753925,32.076764,265,385,1.452830189
118.90051,32.128666,500,161,0.322
118.892236,32.108428,225,385,1.711111111
118.885027,32.085836,101,319,3.158415842
118.748629,32.110529,235,386,1.642553191
118.84183,32.102474,470,462,0.982978723
118.899178,32.112052,462,367,0.794372294
118.810143,32.028529,239,106,0.443514644
118.82794,32.002418,414,450,1.086956522
118.825593,32.022849,54,312,5.777777778
118.866145,32.002423,170,422,2.482352941
118.833196,32.077099,457,71,0.15536105
118.817182,32.010304,175,89,0.508571429
118.878195,32.109975,373,327,0.876675603
118.821041,32.102101,173,113,0.653179191
118.742865,32.062143,172,475,2.761627907
118.801519,32.010517,229,245,1.069868996
118.886464,32.106734,123,239,1.943089431
118.87411,32.059568,186,172,0.924731183
118.741367,32.04633,319,129,0.404388715
118.753281,32.126021,484,126,0.260330579
118.752158,32.060572,71,167,2.352112676
118.865601,32.111142,103,247,2.398058252
118.755488,32.081122,133,197,1.481203008
118.75618,32.050871,478,486,1.016736402
118.800531,32.102121,196,329,1.678571429
118.802213,32.107779,99,468,4.727272727
118.833485,32.030498,171,466,2.725146199
118.877044,32.076326,459,233,0.507625272
118.85349,32.127017,209,345,1.650717703
118.759534,32.039742,337,278,0.824925816
118.788693,32.088298,472,334,0.707627119
118.892911,32.130799,281,484,1.722419929
118.827131,32.045171,271,74,0.273062731
118.891087,32.079886,213,353,1.657276995
118.883327,32.05846,421,344,0.817102138
118.816881,32.046532,447,428,0.957494407
118.74052,32.052699,272,236,0.867647059
118.895395,32.043409,358,55,0.153631285
118.851441,32.07714,237,284,1.198312236
118.811331,32.127779,236,229,0.970338983
118.884529,32.118963,379,59,0.155672823
118.822966,32.006307,247,122,0.493927126
118.741322,32.106434,205,112,0.546341463
118.893323,32.105428,360,56,0.155555556
118.841287,32.04825,69,284,4.115942029
118.811144,32.08176,319,433,1.357366771
118.737551,32.063931,417,140,0.335731415
118.768037,32.05791,305,141,0.462295082
118.743885,31.998143,151,315,2.086092715
118.8921,32.071038,453,305,0.673289183
118.798519,32.052331,320,316,0.9875
118.855367,32.112673,446,261,0.585201794
118.85485,32.036465,427,262,0.613583138
118.885009,32.068056,280,236,0.842857143
118.886254,32.034453,356,431,1.210674157
118.831838,32.079169,313,412,1.31629393
118.808061,32.062222,111,303,2.72972973
118.742343,32.066242,196,198,1.010204082
118.775284,32.102076,83,364,4.385542169
118.796375,32.122525,110,66,0.6
118.874244,32.127482,305,263,0.862295082
118.834739,32.034384,219,216,0.98630137
118.787119,32.011925,145,396,2.731034483
118.773126,32.012022,131,168,1.282442748
118.818743,32.080498,360,153,0.425
118.884455,32.004878,129,372,2.88372093
118.765882,32.005212,134,326,2.432835821
118.766163,32.080248,429,454,1.058275058
118.856461,32.118281,495,259,0.523232323
118.826998,32.0274,94,372,3.957446809
118.765765,32.112994,377,469,1.24403183
118.846167,32.02692,313,297,0.948881789
118.846405,32.064811,199,155,0.778894472
118.777648,32.034704,452,444,0.982300885
118.864888,32.088666,360,381,1.058333333
118.892238,32.079447,53,186,3.509433962
118.742429,32.095793,191,159,0.832460733
118.858824,32.08404,211,227,1.075829384
118.797937,32.080263,219,101,0.461187215
118.871042,32.032038,488,425,0.870901639
118.739815,32.046608,500,147,0.294
118.772626,32.105726,96,338,3.520833333
118.76548,32.060027,479,482,1.006263048
118.807348,32.052621,470,260,0.553191489
118.867086,32.0514,116,198,1.706896552
118.822356,32.037693,253,134,0.529644269
118.777748,32.103673,343,214,0.623906706
118.882072,32.01923,300,212,0.706666667
118.780267,32.000525,297,235,0.791245791
118.877441,32.097442,424,485,1.143867925
118.873104,32.097815,409,336,0.821515892
118.859539,32.069152,147,419,2.850340136
118.736644,32.108819,469,410,0.874200426
118.75858,32.119344,358,81,0.226256983
118.742554,32.008934,308,61,0.198051948
118.848418,32.033647,80,372,4.65
118.812968,32.026127,471,399,0.847133758
118.841806,32.030156,178,329,1.848314607
118.823294,31.9983,156,67,0.429487179
118.764749,32.049784,301,324,1.07641196
118.834263,32.018248,285,234,0.821052632
118.74334,32.12162,97,89,0.917525773
118.783801,32.061275,328,464,1.414634146
118.873348,32.055998,324,297,0.916666667
118.883458,32.003228,360,454,1.261111111
118.823339,32.048107,217,498,2.294930876
118.85209,32.097516,195,375,1.923076923
118.90228,32.039573,113,454,4.017699115
118.882409,32.013554,342,384,1.122807018
118.757753,32.121991,128,295,2.3046875
118.870301,31.997171,410,82,0.2
118.877796,32.088517,208,351,1.6875
118.748279,32.105175,343,481,1.402332362
118.880652,32.016379,305,285,0.93442623
118.739069,32.078244,79,138,1.746835443
118.888581,32.131162,370,61,0.164864865
118.85381,32.071355,166,388,2.337349398
118.788178,32.10178,116,113,0.974137931
118.77824,32.105085,58,118,2.034482759
118.800947,32.055387,141,124,0.879432624
118.784815,32.023467,84,405,4.821428571
118.887292,32.071475,100,385,3.85
118.756584,31.997505,301,268,0.890365449
118.814209,32.027116,264,177,0.670454545
118.898499,32.047058,486,418,0.860082305
118.887709,32.083339,390,374,0.958974359
118.859158,32.051949,455,85,0.186813187
118.865919,32.116659,317,172,0.542586751
118.880394,32.063809,385,358,0.92987013
118.771547,32.030175,403,134,0.332506203
118.862467,32.017664,482,426,0.883817427
118.850244,32.097439,81,273,3.37037037
118.846627,32.02921,177,295,1.666666667
118.751569,32.054186,281,140,0.498220641
118.758738,32.085655,113,454,4.017699115
118.894022,32.069109,195,278,1.425641026
118.876121,32.125929,350,270,0.771428571
118.8921,32.076136,117,237,2.025641026
118.788492,32.10383,176,462,2.625
118.894114,32.128459,144,277,1.923611111
118.764557,32.075226,164,277,1.68902439
118.850949,32.066262,233,406,1.74248927
118.838162,32.084472,345,179,0.51884058
118.810684,32.074965,217,372,1.714285714
118.84811,32.100386,107,313,2.925233645
118.846095,32.030806,190,164,0.863157895
118.84127,32.120753,351,55,0.156695157
118.843785,32.121815,244,274,1.12295082
118.897642,32.006932,210,466,2.219047619
118.772153,32.002757,247,163,0.659919028
118.836559,32.06458,55,273,4.963636364
118.878406,32.067497,495,190,0.383838384
118.881599,31.996921,97,339,3.494845361
118.891955,32.120448,56,498,8.892857143
118.795125,32.009039,186,373,2.005376344
118.741204,32.041973,349,210,0.601719198
118.761467,32.062921,146,186,1.273972603
118.880622,32.046009,441,418,0.947845805
118.762384,32.096144,255,223,0.874509804
118.853472,32.122647,145,212,1.462068966
118.788221,32.127844,189,72,0.380952381
118.780825,32.092198,443,200,0.451467269
118.736412,32.132239,416,171,0.411057692
118.75365,32.071334,129,225,1.744186047
118.737885,32.017804,279,478,1.713261649
118.872479,32.115881,406,327,0.805418719
118.781087,32.105557,312,455,1.458333333
118.795963,32.078669,398,157,0.394472362
118.740721,32.027661,349,170,0.487106017
118.801222,32.047366,129,269,2.085271318
118.796269,32.001027,415,375,0.903614458
118.855522,32.021744,166,384,2.313253012
118.820116,32.043194,420,281,0.669047619
118.781344,32.075369,60,220,3.666666667
118.789846,32.075937,153,483,3.156862745
118.884166,32.016229,273,239,0.875457875
118.756125,32.114828,389,397,1.020565553
118.898078,32.014643,77,421,5.467532468
118.868388,32.035743,354,433,1.223163842
118.756289,31.999367,82,289,3.524390244
118.893566,32.128999,408,71,0.174019608
118.840723,32.122109,461,120,0.260303688
118.757603,32.059623,143,199,1.391608392
118.874804,32.032508,208,422,2.028846154
118.880311,32.12598,221,258,1.167420814
118.824877,32.104108,307,303,0.986970684
118.870436,32.124905,84,389,4.630952381
118.805215,32.066908,235,112,0.476595745
118.786439,32.066831,375,278,0.741333333
118.766433,32.046572,258,337,1.30620155
118.77676,32.039379,99,270,2.727272727
118.808982,32.119876,410,497,1.212195122
118.872946,32.071027,421,157,0.372921615
118.870467,31.999117,381,402,1.05511811
118.751034,32.018316,360,441,1.225
118.814987,32.031303,54,323,5.981481481
118.872618,31.997323,239,388,1.623430962
118.876455,32.072025,51,384,7.529411765
118.817357,32.081895,203,457,2.251231527
118.757188,32.069753,377,91,0.24137931
118.854171,32.008462,289,328,1.134948097
118.781224,32.051004,436,354,0.811926606
118.818793,32.049021,155,102,0.658064516
118.85552,32.057547,344,369,1.072674419
118.860673,32.071477,434,240,0.552995392
118.770314,32.048377,423,208,0.491725768
118.773907,32.040813,296,179,0.60472973
118.837197,32.092162,480,171,0.35625
118.861815,32.028692,105,252,2.4
118.881864,32.076681,456,338,0.74122807
118.895263,32.04088,457,99,0.216630197
118.85752,32.082139,279,56,0.200716846
118.759308,32.067967,413,399,0.966101695
118.787422,32.056486,336,136,0.404761905
118.777153,32.126395,419,194,0.46300716
118.79998,32.053097,232,104,0.448275862
118.85878,32.014756,273,112,0.41025641
118.780015,32.106144,66,273,4.136363636
118.751615,31.997056,319,396,1.24137931
118.825983,32.107359,450,360,0.8
118.836124,32.077486,463,280,0.60475162
118.791193,32.060258,363,117,0.32231405
118.833348,32.096514,437,159,0.363844394
118.858785,32.078587,129,467,3.620155039
118.859162,32.056838,301,64,0.212624585
118.828897,32.111089,367,381,1.038147139
118.750096,32.108272,174,295,1.695402299
118.815898,32.078744,234,78,0.333333333
118.866911,32.097807,282,102,0.361702128
118.762786,32.083222,278,141,0.507194245
118.885068,32.066801,316,102,0.32278481
118.778505,32.046379,50,215,4.3
118.855862,32.037161,333,185,0.555555556
118.772409,32.112485,132,161,1.21969697
118.878317,32.002916,290,134,0.462068966
118.789136,32.125635,423,338,0.799054374
118.860992,32.058367,384,316,0.822916667
118.795463,32.029199,321,165,0.514018692
118.775529,32.016257,77,226,2.935064935
118.775649,32.068464,354,426,1.203389831
118.766377,32.018822,211,177,0.838862559
118.891909,32.091794,350,128,0.365714286
118.752971,32.123712,463,434,0.937365011
118.903298,32.088245,264,475,1.799242424
118.835349,32.064771,57,322,5.649122807
118.749861,32.08312,237,480,2.025316456
118.902351,32.084785,227,226,0.995594714
118.82425,32.083468,456,426,0.934210526
118.845712,32.047555,385,436,1.132467532
118.764602,32.11082,356,291,0.81741573
118.818523,32.129314,89,187,2.101123596
118.740691,32.053408,182,185,1.016483516
118.842841,32.026943,250,89,0.356
118.788402,32.04749,195,203,1.041025641
118.860204,32.02513,325,202,0.621538462
118.774966,32.059816,200,54,0.27
118.77308,32.119062,62,456,7.35483871
118.778177,32.051173,77,254,3.298701299
118.899791,32.085763,58,201,3.465517241
118.746896,32.079038,226,105,0.46460177
118.769967,32.024829,321,291,0.906542056
118.81302,32.080726,161,486,3.01863354
118.89265,32.1235,207,429,2.072463768
118.884521,32.028363,481,260,0.540540541
118.783646,32.054557,480,184,0.383333333
118.736975,32.037809,451,287,0.636363636
118.814787,32.077157,310,281,0.906451613
118.892506,32.083451,338,195,0.576923077
118.877006,32.035215,290,410,1.413793103
118.885956,32.012875,399,228,0.571428571
118.863389,32.008932,271,320,1.180811808
118.831495,32.077432,247,221,0.894736842
118.768833,32.121291,109,126,1.155963303
118.900179,32.070426,346,314,0.907514451
118.887154,32.043825,328,371,1.131097561
118.892922,32.025204,315,213,0.676190476
118.810253,32.093057,301,97,0.322259136
118.900208,32.127773,152,452,2.973684211
118.736342,32.11197,350,487,1.391428571
118.790219,32.025758,158,196,1.240506329
118.900127,32.014948,294,383,1.302721088
118.813781,32.038967,423,432,1.021276596
118.845787,32.078324,315,434,1.377777778
118.8707,32.022979,374,106,0.28342246
118.83131,32.097368,234,248,1.05982906
118.820081,32.122669,248,79,0.318548387
118.790581,32.066277,95,321,3.378947368
118.747992,32.023606,344,405,1.177325581
118.896464,32.001622,99,136,1.373737374
118.891666,32.033304,494,234,0.473684211
118.874121,32.12775,212,479,2.259433962
118.889134,32.015463,481,365,0.758835759
118.840118,32.059192,449,462,1.028953229
118.791992,32.013109,383,471,1.229765013
118.779364,32.114339,94,331,3.521276596
118.795071,32.124598,61,83,1.360655738
118.854001,32.063188,196,137,0.698979592
118.857707,32.070391,222,293,1.31981982
118.893806,32.015847,295,253,0.857627119
118.73847,32.028364,132,158,1.196969697
118.799305,32.110117,375,127,0.338666667
118.793518,32.007162,119,193,1.621848739
118.76491,32.02307,421,471,1.118764846
118.889634,32.011113,427,351,0.822014052
118.890007,32.092372,102,124,1.215686275
118.765637,32.130503,435,88,0.202298851
118.843871,32.088178,154,246,1.597402597
118.899586,32.11456,133,84,0.631578947
118.868218,32.073677,130,239,1.838461538
118.787902,32.090613,316,452,1.430379747
118.834069,32.067467,65,251,3.861538462
118.775993,32.065533,59,495,8.389830508
118.874235,32.074871,363,126,0.347107438
118.785269,32.107787,342,401,1.17251462
118.887303,32.080072,226,443,1.960176991
118.755377,32.112455,446,251,0.562780269
118.778899,32.064865,321,405,1.261682243
118.765302,32.030531,425,484,1.138823529
118.746005,32.00755,331,402,1.214501511
118.883242,32.049922,183,79,0.431693989
118.871509,32.009681,184,165,0.89673913
